,STATE,DISTRICT,NAME,TRU,TOT_VAC,VAC_1,VAC_2,VAC_M,VAC_F,TOT_P,TOT_M,TOT_F,NON_WORK_M,NON_WORK_F,M_06,F_06,M_SC,F_SC,M_ST,F_ST,M_LIT,F_LIT,M_ILL,F_ILL,TOT_WORK_M,TOT_WORK_F,AVG_VAC
1637,21,395,16,2,1788806,0,0,0,0,12442373,6715931,5726442,2750600,4672356,629262,574508,411855,391381,68521,61132,5633709,4450798,1082222,1275644,3965331,1054086,14.376727011800723
1638,21,393,24,1,1053757,787092,266665,612154,441473,2634200,1344345,1289855,590502,970729,155437,145378,67980,66972,153657,151468,1059692,880302,284653,409553,753843,319126,40.00292308860375
1639,21,393,24,0,127252,0,0,0,0,1664005,836996,827009,366499,582950,96875,91929,31985,32353,135959,134809,639701,523190,197295,303819,470497,244059,7.647332790466375
1640,21,393,24,2,134161,0,0,0,0,970195,507349,462846,224003,387779,58562,53449,35995,34619,17698,16659,419991,357112,87358,105734,283346,75067,13.828251021701822
1641,21,363,23,1,7086535,5244695,1841840,3921982,3163207,9429408,4924105,4505303,2114289,3266126,586665,518294,602755,577948,179132,169744,3940210,3231513,983895,1273790,2809816,1239177,75.15355152730692
1642,21,363,23,0,456667,0,0,0,0,3678226,1903440,1774786,793723,1055916,235248,204854,185088,175941,129711,125678,1472191,1150031,431249,624755,1109717,718870,12.415414387261686
1643,21,363,23,2,913365,0,0,0,0,5751182,3020665,2730517,1320566,2210210,351417,313440,417667,402007,49421,44066,2468019,2081482,552646,649035,1700099,520307,15.881344043711362
1644,21,391,0,1,1476743,1059314,417429,817545,659014,4543159,2342825,2200334,1042516,1296053,300238,255776,291521,282177,191165,187065,1773355,1378535,569470,821799,1300309,904281,32.50476155468034
1645,21,391,0,0,277983,0,0,0,0,3630542,1872907,1757635,820344,934380,243665,206808,225820,217482,179133,175842,1392891,1052256,480016,705379,1052563,823255,7.656790638973464
1646,21,391,0,2,46355,0,0,0,0,912617,469918,442699,222172,361673,56573,48968,65701,64695,12032,11223,380464,326279,89454,116420,247746,81026,5.079348730080636
1647,21,384,5,1,832126,631286,200840,456735,375259,2585049,1349106,1235943,621287,708214,195245,157645,179777,171477,16806,15916,987185,731322,361921,504621,727819,527729,32.18995075141709
1648,21,384,5,0,120813,0,0,0,0,2070751,1082978,987773,485589,498773,157895,125733,143031,135838,13659,13022,777837,557752,305141,430021,597389,489000,5.834260130744836
1649,21,384,5,2,43603,0,0,0,0,514298,266128,248170,135698,209441,37350,31912,36746,35639,3147,2894,209348,173570,56780,74600,130430,38729,8.478158577322874
1650,21,383,15,1,848869,633918,214951,458069,390685,2454196,1273140,1181056,603122,804217,168237,149574,247918,232995,29872,27616,932432,718240,340708,462816,670018,376839,34.5884762260227
1651,21,383,15,0,112145,0,0,0,0,1829216,949707,879509,432259,539590,126156,112179,190913,178696,24970,23177,683249,511596,266458,367913,517448,339919,6.130768591571471
1652,21,383,15,2,57053,0,0,0,0,624980,323433,301547,170863,264627,42081,37395,57005,54299,4902,4439,249183,206644,74250,94903,152570,36920,9.128772120707863
1653,21,381,21,1,527522,385712,141810,288804,238643,1657576,861535,796041,387740,495920,110919,96177,136354,128830,18569,17470,644304,493506,217231,302535,473795,300121,31.824905766010126
1654,21,381,21,0,48105,0,0,0,0,1376519,716237,660282,311772,381359,91913,79647,113813,107512,15426,14581,528743,397279,187494,263003,404465,278923,3.494684780958345
1655,21,381,21,2,51258,0,0,0,0,281057,145298,135759,75968,114561,19006,16530,22541,21318,3143,2889,115561,96227,29737,39532,69330,21198,18.23758170050915
1656,21,375,29,1,1167318,852702,314616,645625,521521,4317756,2227852,2089904,1020919,1398442,285879,252574,331960,317785,39785,37807,1651266,1259410,576586,830494,1206933,691462,27.035293332925715
1657,21,375,29,0,185378,0,0,0,0,2918665,1518343,1400322,676900,846642,200863,175465,227928,215253,25648,24083,1091085,791703,427258,608619,841443,553680,6.351465481650001
1658,21,375,29,2,111733,0,0,0,0,1399091,709509,689582,344019,551800,85016,77109,104032,102532,14137,13724,560181,467707,149328,221875,365490,137782,7.98611384105823
1659,21,376,27,1,1535764,1069872,465892,795356,740217,3003741,1510842,1492899,666037,982757,167729,150156,161703,161533,15210,14425,1201034,1024660,309808,468239,844805,510142,51.12837624815189
1660,21,376,27,0,328870,0,0,0,0,2433363,1219749,1213614,524376,754286,136325,122242,123808,123767,11500,10963,960799,809951,258950,403663,695373,459328,13.515040707037956
1661,21,376,27,2,73752,0,0,0,0,570378,291093,279285,141661,228471,31404,27914,37895,37766,3710,3462,240235,214709,50858,64576,149432,50814,12.930372489822538
1662,21,372,25,1,583472,422478,160994,314765,268663,1615069,761121,853948,354113,546880,80333,75227,31967,34981,10402,9972,619012,580380,142109,273568,407008,307068,36.12675371764303
1663,21,372,25,0,80892,0,0,0,0,1351346,630213,721133,289780,433340,66623,62450,27217,30307,9577,9211,507199,472158,123014,248975,340433,287793,5.9860317046855505
1664,21,372,25,2,27453,0,0,0,0,263723,130908,132815,64333,113540,13710,12777,4750,4674,825,761,111813,108222,19095,24593,66575,19275,10.409786025488865
1665,21,374,28,1,424760,297491,127269,217758,206949,849651,417332,432319,187656,314817,37034,34159,26830,28756,3575,3401,348289,317778,69043,114541,229676,117502,49.99229095240281
1666,21,374,28,0,77434,0,0,0,0,742645,363268,379377,162925,270757,32038,29677,23397,25312,3061,2958,302111,274162,61157,105215,200343,108620,10.426785341583125
1667,21,374,28,2,18672,0,0,0,0,107006,54064,52942,24731,44060,4996,4482,3433,3444,514,443,46178,43616,7886,9326,29333,8882,17.44948881371138
1668,21,371,14,1,2083387,1361468,721919,1068085,1014930,3876001,1980658,1895343,855454,1316493,219521,189421,253390,251071,15478,14728,1559760,1266085,420898,629258,1125204,578850,53.75094072473149
1669,21,371,14,0,294995,0,0,0,0,2645992,1348815,1297177,569556,809179,150362,129594,178623,177018,11408,10910,1039715,814154,309100,483023,779259,487998,11.148748749051396
1670,21,371,14,2,112040,0,0,0,0,1230009,631843,598166,285898,507314,69159,59827,74767,74053,4070,3818,520045,451931,111798,146235,345945,90852,9.108876439115486
1671,21,373,26,1,1509032,1068893,440139,776003,732800,2822143,1435728,1386415,635514,971525,164355,142422,177108,175985,9406,8927,1121550,927917,314178,458498,800214,414890,53.47113877645463
1672,21,373,26,0,336953,0,0,0,0,2102786,1071124,1031662,461932,676863,123855,106428,126946,125404,6592,6228,827806,667288,243318,364374,609192,354799,16.024122283484864
1673,21,373,26,2,73132,0,0,0,0,719357,364604,354753,173582,294662,40500,35994,50162,50581,2814,2699,293744,260629,70860,94124,191022,60091,10.166301294072346
